UID,Datatype,Recipient,Condition,Class
788,2,12,4,1
788,9,2,0,1
788,13,15,0,0
788,13,15,3,0
788,6,14,2,1
788,6,12,1,1
788,2,14,3,1
788,9,14,2,1
788,11,15,3,0
788,13,14,5,0
788,9,8,0,1
788,9,12,4,1
788,9,5,0,1
788,9,2,0,1
788,11,11,2,0
788,6,12,5,1
788,13,14,3,0
788,1,15,5,0
788,6,15,3,0
788,2,14,2,1
788,1,11,0,0
788,2,14,4,1
788,13,6,0,0
788,13,15,4,0
788,6,14,0,1
788,11,12,0,1
788,9,14,5,0
788,13,14,4,0
788,11,11,1,0
788,2,12,3,0
788,13,3,0,0
788,6,12,2,1
788,9,12,2,1
788,13,14,0,0
788,9,14,3,1
788,2,12,0,1
788,9,14,4,1
788,1,12,0,1
788,6,12,4,1
788,1,11,3,0
788,1,11,4,0
788,13,12,0,0
788,9,14,1,1
788,9,14,0,1
788,13,12,3,0
861,14,15,0,1
861,4,14,0,1
861,8,15,5,0
861,6,2,0,0
861,8,12,0,1
861,4,11,1,1
861,15,11,1,0
861,15,6,0,0
861,6,9,0,1
861,15,2,0,0
861,6,10,0,1
861,14,4,0,1
861,14,5,0,0
861,3,12,0,1
861,15,7,0,0
861,15,2,0,0
861,4,6,0,1
861,4,10,0,1
861,15,10,0,0
861,15,1,0,0
861,8,12,2,1
861,6,6,0,1
861,15,9,0,0
861,6,3,0,0
861,14,8,0,1
861,14,1,0,0
861,15,11,3,0
861,8,11,0,1
861,8,12,0,1
861,6,14,5,1
861,3,11,0,0
861,15,7,0,0
861,6,4,0,1
861,8,12,4,1
861,3,12,5,0
861,4,12,0,0
861,4,11,0,0
861,4,3,0,0
861,4,14,5,1
861,14,10,0,1
861,6,14,0,1
861,14,1,0,1
861,15,3,0,0
861,15,11,5,0
861,8,11,3,1
861,4,11,0,1
82,9,14,1,1
82,15,6,0,0
82,8,8,0,0
82,15,4,0,0
82,9,10,0,1
82,4,11,3,1
82,4,11,5,1
82,8,10,0,0
82,4,4,0,1
82,8,12,3,0
82,9,2,0,1
82,12,14,1,1
82,9,15,0,0
82,12,12,0,0
82,4,15,3,0
82,15,12,0,0
82,12,14,2,1
82,15,15,0,0
82,8,12,1,0
82,15,5,0,0
82,15,12,1,0
82,8,5,0,0
82,15,10,0,0
82,15,14,0,0
82,8,10,0,0
82,15,12,4,0
82,2,14,0,0
82,8,11,5,0
82,2,12,5,1
82,8,5,0,0
82,2,14,1,1
82,4,12,1,0
82,2,15,2,0
82,12,12,3,0
82,2,14,3,1
82,12,14,4,1
82,2,7,0,1
82,2,5,0,1
82,15,15,3,0
82,8,11,2,0
82,15,14,3,1
82,8,4,0,0
82,4,15,5,0
82,2,14,5,1
82,2,12,2,1
82,8,3,0,0
530,13,8,0,0
530,7,12,5,1
530,11,9,0,1
530,3,5,0,1
530,3,9,0,1
530,13,1,0,0
530,3,7,0,1
530,6,7,0,1
530,13,12,3,1
530,7,14,4,1
530,1,9,0,1
530,3,14,3,1
530,7,14,0,1
530,6,11,4,0
530,6,5,0,1
530,6,15,3,1
530,3,5,0,1
530,7,14,3,1
530,7,9,0,0
530,13,5,0,0
530,7,2,0,0
530,11,15,3,1
530,6,15,5,1
530,6,15,4,1
530,7,7,0,0
530,3,14,0,1
530,1,11,2,1
530,3,2,0,0
530,13,15,0,1
530,1,12,3,1
530,13,14,0,1
530,6,11,3,0
530,13,12,1,1
530,13,12,5,1
530,11,15,5,1
530,6,15,2,1
530,6,15,0,1
530,3,1,0,1
530,7,14,0,1
530,6,1,0,1
530,11,14,0,1
530,7,6,0,0
530,13,2,0,0
530,1,14,2,1
530,3,8,0,1
530,1,6,0,1
1047,8,11,4,1
1047,11,14,2,1
1047,11,12,4,1
1047,5,12,4,1
1047,11,12,1,1
1047,5,12,3,1
1047,8,12,4,0
1047,3,11,3,1
1047,11,12,0,1
1047,7,5,0,0
1047,7,15,3,1
1047,11,9,0,1
1047,5,12,0,1
1047,5,12,1,1
1047,11,14,5,1
1047,5,15,1,1
1047,3,9,0,1
1047,7,7,0,0
1047,14,1,0,1
1047,8,15,1,1
1047,3,4,0,1
1047,3,8,0,1
1047,7,2,0,0
1047,14,12,4,0
1047,3,15,3,0
1047,5,15,0,1
1047,14,4,0,1
1047,14,7,0,1
1047,7,3,0,0
1047,3,10,0,1
1047,14,8,0,1
1047,14,14,3,1
1047,14,14,2,1
1047,3,1,0,1
1047,7,9,0,1
1047,14,10,0,1
1047,3,8,0,1
1047,11,14,4,1
1047,14,7,0,1
1047,7,8,0,0
1047,5,12,5,1
1047,3,5,0,1
1047,8,12,5,0
1047,14,2,0,1
1047,14,14,4,1
1047,3,3,0,1
995,11,14,5,1
995,12,14,0,1
