UID,Datatype,Recipient,Condition,Class
0,3,3,0,1
0,3,4,0,0
0,3,5,0,0
0,3,6,0,1
0,3,7,0,1
0,3,8,0,0
0,3,9,0,0
0,3,10,0,1
0,3,11,0,1
0,3,12,0,0
0,3,12,0,0
0,3,14,0,0
0,3,15,0,1
0,3,12,0,0
0,3,12,4,0
0,3,12,1,0
0,3,12,2,0
0,3,12,3,0
0,3,12,5,0
0,3,14,0,0
0,3,14,4,0
0,3,14,1,0
0,3,14,2,0
0,3,14,3,0
0,3,14,5,0
0,5,11,0,0
0,5,12,0,0
0,5,12,0,0
0,5,14,0,0
0,5,15,0,0
0,5,11,0,0
0,5,11,4,0
0,5,11,1,0
0,5,11,2,0
0,5,11,3,0
0,5,11,5,0
0,5,12,0,0
0,5,12,4,0
0,5,12,1,0
0,5,12,2,0
0,5,12,3,0
0,5,12,5,0
0,5,15,0,0
0,5,15,4,0
0,5,15,1,0
0,5,15,2,0
0,5,15,3,0
0,5,15,5,0
0,7,11,0,0
0,7,12,0,0
0,7,12,0,0
0,7,14,0,0
0,7,15,0,0
0,7,11,0,0
0,7,11,4,0
0,7,11,1,0
0,7,11,2,0
0,7,11,3,0
0,7,11,5,0
0,7,12,0,0
0,7,12,4,0
0,7,12,1,0
0,7,12,2,0
0,7,12,3,0
0,7,12,5,0
0,7,15,0,0
0,7,15,4,0
0,7,15,1,0
0,7,15,2,0
0,7,15,3,0
0,7,15,5,0
0,10,1,0,1
0,10,2,0,0
0,10,3,0,1
0,10,4,0,0
0,10,5,0,0
0,10,6,0,1
0,10,7,0,1
0,10,8,0,0
0,10,9,0,0
0,10,10,0,1
0,10,1,0,0
0,10,2,0,0
0,10,3,0,1
0,10,4,0,0
0,10,5,0,0
0,10,6,0,1
0,10,7,0,1
0,10,8,0,0
0,10,9,0,0
0,10,10,0,1
0,10,12,0,0
0,10,12,4,0
0,10,12,1,0
0,10,12,2,0
0,10,12,3,0
0,10,12,5,0
0,10,12,0,0
0,10,12,4,0
0,10,12,1,0
0,10,12,2,0
0,10,12,3,0
0,10,12,5,0
0,10,14,0,0
0,10,14,4,0
0,10,14,1,0
0,10,14,2,0
0,10,14,3,0
0,10,14,5,0
0,10,15,0,0
0,10,15,4,0
0,10,15,1,0
0,10,15,2,0
0,10,15,3,0
0,10,15,5,0
0,12,1,0,0
0,12,2,0,0
0,12,3,0,0
0,12,4,0,0
0,12,5,0,0
0,12,6,0,1
0,12,7,0,1
0,12,8,0,0
0,12,9,0,0
0,12,10,0,0
0,12,1,0,0
0,12,2,0,0
0,12,3,0,0
0,12,4,0,0
0,12,5,0,0
0,12,6,0,1
0,12,7,0,0
0,12,8,0,0
0,12,9,0,0
0,12,10,0,0
0,12,12,0,0
0,12,12,4,0
0,12,12,1,0
0,12,12,2,0
0,12,12,3,0
0,12,12,5,0
0,12,15,0,0
0,12,15,4,0
0,12,15,1,0
0,12,15,2,0
0,12,15,3,0
0,12,15,5,0
0,13,1,0,0
0,13,2,0,0
0,13,3,0,0
0,13,5,0,0
0,13,4,0,0
0,13,7,0,0
0,13,8,0,0
0,13,6,0,1
0,13,9,0,0
0,13,10,0,0
0,13,11,0,0
0,13,12,0,0
0,13,12,0,0
0,13,14,0,0
0,13,15,0,0
0,13,14,0,0
0,13,14,4,0
0,13,14,1,0
0,13,14,2,0
0,13,14,3,0
0,13,14,5,0
0,13,15,0,0
0,13,15,4,0
0,13,15,1,0
0,13,15,2,0
0,13,15,3,0
0,13,15,5,0
1,1,1,0,1
1,1,2,0,1
1,1,3,0,1
1,1,5,0,1
1,1,4,0,1
1,1,7,0,1
1,1,8,0,1
1,1,6,0,1
1,1,9,0,1
1,1,10,0,1
1,1,12,0,1
1,1,12,4,0
1,1,12,1,0
1,1,12,2,1
1,1,12,3,1
1,1,12,5,1
1,1,14,0,1
1,1,14,4,1
1,1,14,1,0
1,1,14,2,1
1,1,14,3,1
1,1,14,5,1
1,1,15,0,0
1,1,15,4,0
1,1,15,1,0
1,1,15,2,0
1,1,15,3,0
1,1,15,5,0
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,0,1
1,3,6,0,0
1,3,7,0,1
1,3,8,0,0
1,3,9,0,1
1,3,10,0,1
1,3,1,0,0
1,3,2,0,0
1,3,3,0,1
1,3,4,0,0
1,3,5,0,0
1,3,6,0,1
1,3,7,0,1
1,3,8,0,0
1,3,9,0,0
1,3,10,0,1
1,3,12,0,0
1,3,12,4,0
1,3,12,1,0
1,3,12,2,0
1,3,12,3,0
1,3,12,5,0
